Treść,Kategoria
Po wojnie rodzina Gagarina przeniosła się z Kłuszyna do pobliskiego miasta Gżatska.,2
Tam Gagarin wznowił edukację.,1
 W 1950 roku rozpoczął praktykę jako odlewnik w hucie stali w Lubiercy pod Moskwą.,1
Radziecka propaganda na piedestał stawiała robotników budujących gospodarkę ZSRR.,4
Gagarin po zakończeniu szkoły zawodowej kontynuował edukację w Technikum Przemysłowym w Saratowie.,1
W weekendy szkolił się na lotnika na samolocie Jakowlew Jak-18.,1
W 1955 roku Gagarin został przyjęty do Pierwszej Wyższej Szkoły Pilotów Sił Powietrznych w Orenburgu. ,2
"Latał tam początkowo na Jakach-18, a później na myśliwcach MiG-15.",1
"Gagarin nie potrafił wyeliminować tego błędu, więc zdecydowano o jego wydaleniu.",2
Jednak przed podpisaniem rozkazu dosłownie wybłagał u przełożonych jeszcze jedną próbę.,1
Wówczas próbę wykonał bez problemu.,1
"Jednocześnie dyrektor szkoły zauważył, że być może problem wynika z niskiego wzrostu Gagarina, co mogło wpływać na kąt widzenia.",2
 Do października 1959 roku wylatał łącznie 265 godzin i  posiadał uprawnienia „Pilot wojskowy III klasy”.,1
"ZSRR, po wysłaniu pierwszej sondy w kosmos, a następnie pierwszej żywej istoty poza Ziemię, stał się liderem wyścigu kosmicznego.",4
"Decydenci w ZSRR zdawali sobie z tego sprawę, więc przyspieszyli swój projekt wysłania człowieka w kosmos.",4
W ten sposób program Wostok wchodził w kluczową fazę.,3
" To on uznał, że kandydata do lotu w kosmos należy wybrać spośród pilotów myśliwców.",2
Gagarin wstąpił do KPZR latem 1960 roku.,1
Gagarin swoje szkolenie rozpoczął 15 marca 1960 r. na moskiewskim lotnisku w Chodynce.,1
Każdy z pilotów wykonał od 40 do 50 skoków spadochronowych z różnych wysokości.,4
Do Moskwy Gagarin przyleciał na pokładzie Iła-18.,2
Po zakończeniu uroczystości Chruszczow odprowadził Gagarina do wnętrza mauzoleum Lenina.,2
W sumie Gagarin w ramach wizyt zagranicznych odwiedził około 30 krajów.,2
"Wynika z nich, że za katastrofę najpewniej odpowiadał sam Gagarin, który wykonał niebezpieczny manewr.",1
Józefa Bellerta zorganizował szpital dla prawie 5000 tysięcy osób w największym obozie zagłady świata.,1
"Starszy mężczyzna ubrany w ciepłą jesionkę i kapelusz, spod którego wystawały szpakowate włosy, już dłuższą chwilę stał bezczynnie przed ciężarówką. ",2
"Wyprowadzona grupa stanęła w szeregu naprzeciw ciężarówki i doktora Bellerta, który zadowolony z przybycia pasażerów, wyjął z kieszeni płaszcza okulary i założył je na nos.",4
"Kiedy znaleźli się na miejscu, dr Bellert pierwszy poszedł skontrolować pomieszczenia przygotowane dla podopiecznych.",1
Prowadzony przez podwładną szybko podszedł do łóżka chorej i odwinął koc. ,1
Wiele godzin siedział bez ruchu przy biurku i wpatrywał się w nocny świat wyłaniający się zza okna.,2
"Prowadząc rozmowę ze swoją małą pacjentką dr Bellert jednocześnie badał ją, a potem wnikliwie czytał kartę chorej.",1
"Posmutniał, kiedy zrozumiał, że w leczeniu nie ma przełomu, a stan chorej stale się pogarsza.",2
"Nie dał jednak po sobie poznać frasunku i cały czas przekomarzał się z dziewczynką, robiąc jej różne żarty.",1
"Aż towarzyszące mu w obchodzie siostry zaśmiewały się z lekarskich psikusów, wymyślanych tylko po to, aby trochę rozweselić młodziutką pacjentkę.",4
"Często poza swoim dyżurem znajdował czas, aby odwiedzić małą pacjentkę.",1
"Pewnego wieczoru dostała silnej gorączki, przestała rozpoznawać ludzi i majaczyła w malignie.",2
"Doktor zbadał ją i zaaplikował lekarstwa, które uspokoiły na chwilę chorą, ale w żaden sposób nie zniweczyły jej gorączki.",1
"Gorączka jednak nie ustępowała, a po dwóch godzinach spokoju, na nowo powróciły majaki.",3
"Badał byłych więźniów, operował ich i leczył. ",1
W 1959 r. Gwinea stała się hiszpańską prowincją.,3
"Podczas kampanii Macias wielokrotnie wypowiadał bezwiedne kwestie, pozbawione sensu.",1
Macias w telewizji wykrzykiwał o wtrącaniu się Hiszpanów w sprawy wewnętrzne i o rzekomych spiskach przeciwko niemu. ,1
W 1972 r. Macias ogłosił się dożywotnim prezydentem.,1
"W Boże Narodzenie roku 1969 r. egzekucji 150 przeciwników Maciasa, dokonali żołnierze przebrani w stroje Świętego Mikołaja.",4
"Zakazywał praktyk religijnych, czytania prasy, cenzurował listy.",1
"Po zabiciu prezesa banku centralnego, zaniósł wszystko, co pozostało w skarbcu państwa, do swojej rezydencji.",1
Stanisław pracował w jego kancelarii i był jednym z najbliższych współpracowników.,1
"Dodatkowo Bolesław prowadził bardzo aktywną politykę w regionie, która powodowała ciągłe wyprawy wojenne.",1
" Bardzo prawdopodobne, że Bolesław dowiedział się o spisku i rozpoczął krwawą rozprawę z jego uczestnikami, gdy tylko powrócił z Kijowa.",1
"Polski król zapewne wierzył, że uda mu się powrócić do kraju.",2
"Wtedy Bolesław Krzywousty pomógł węgierskiemu królowi, Kolomanowi, gdy ten walczył z królem niemieckim, Henrykiem V.",1
Zbigniew przegrał z nim rywalizację o władzę nad Polską.,2
Tuż przed wyprawą Henryk V złożył Bolesławowi ultimatom.,1
"Obiecywał odstąpić od najazdu w zamian za przywrócenie praw Zbigniewowi, czyli faktycznie dopuszczenie go do współrządów nad krajem.",1
Po takiej odpowiedzi Henryk V ruszył ze swoją potężną armią na Polskę.,1
Opanowanie tego grodu uznał za kluczowe dla jego planów zaatakowania Poznania.,2
" Postanowił zaszantażować obrońców, że jeśli Ci nie poddadzą grodu, to zakładnicy zginą",1
"Cesarz wiedząc, że nic nie wskóra, przystąpił do oblężenia.",1
Jego armia przywiodła ze sobą pod Głogów wiele machin oblężniczych.,4
Wykorzystał polskich zakładników jako żywe tarcze.,1
Postanowił wówczas zdobyć gród poprzez szturm.,1
"Obrońcy również nie byli dłużni. Niemców obrzucali gradem kamieni, a walczących pod fortyfikacjami oblewali wrzącą wodą i smołą.",4
"Gdy Niemcy zajęci byli próbami szturmu na gród, Bolesław Krzywousty rozpoczął totalną wojnę podjazdową.",1
Dlatego postanowił nieustannie nękać przeciwnika.,1
Tym samym niezłomni obrońcy wzorowo wywiązali się ze swojej roli i nie dali się złamać niemieckiemu królowi.,4
"Za nim podążały siły Bolesława, które polowały na transporty, niedobitków, zwiadowców, maruderów i pomniejsze oddziały, które były w stanie pokonać.",4
Do walki z najeźdźcą zaangażowało się całe społeczeństwo.,4
"Henryk zdając sobie sprawę, że tej wojny nie wygra, rozpoczął próby dyplomatycznego rozwiązania.",1
"Bolesław wiedząc, że z każdym dniem wróg jest słabszy nie był zainteresowany pokojem.",2
Susza jaka nawiedziła w 1540 roku Europę była wyjątkowym i katastrofalnym wydarzeniem klimatycznym. Spowodowała ogromne straty gospodarcze i przyczyniła się do śmierci setek tysięcy mieszkańców Europy.,3
Następnie susza posuwała się na północ.,3
"Wynika z nich, że w 1540 roku była taka posucha, że owoce nie chciały rosnąć, a zboża bardzo szybko dojrzewały.",3
"Zaobserwował także, że słońce często zachowywało przez cały dzień czerwonawy kolor, co było skutkiem obecności dymu w powietrzu.",2
"Sytuacja była tak dramatyczna, że w kościołach w całej Europie odmawiano modlitwy o deszcz.",4
"W jeziorach poziom wody znacząco się obniżył, często pływały w nich śnięte ryby.",3
Dodatkowo suszy towarzyszyły pożary lasów.,3
"W niektórych wioskach szwajcarskich wyschły studnie, więc mieszkańcy wychodzili w góry, by tam napełnić beczki z wodą. ",4
W Alzacji drzewa owocowe zakwitły dwukrotnie.,3
"Z kolei w Limoges w Nowej Akwitanii winiarze zbierali winogrona uprażone na słońcu, z których otrzymywali wino podobne do sherry.",4
" Mieszkańcy tego miasta z powodu upału w trakcie dnia przebywali w piwnicach, by w ten sposób chronić się przed wysoką temperaturą.",4
Rada miejska niemieckiego Ulm nakazała proboszczom modlitwy błagalne do Boga o deszcz.,4
"Liście na drzewach poddane ciągłym upałom oraz pozbawione wody zaczęły żółknąć i opadać, tak jakby zaczynała się jesień. ",3
"Z kolei w Saksonii pożary lasów były tak intensywne, że mieszkańcy z trudem radzili sobie z gryzącym dymem wnikającym do ich domostw. ",4
Podobnie jak w innych państwach susza najmniej zaszkodziła winobraniu. ,3
"Ceny zboża, chleba, mleka, jajek, wody i drewna wystrzeliły w górę, co spowodowało dodatkowe utrudnienia z zaopatrzeniem, zwłaszcza w miastach.",3
"Tam gdzie wody zabrakło ludzie albo zabijali zwierzęta, albo umierali z pragnienia, głodu i wycieńczenia.",4
Władze Izraela w związku ze wzrostem nowych przypadków koronawirusa planują wprowadzenie obostrzeń.,4
"Rząd chce nowych obostrzeń, choć dzięki szybko podpisanej umowie z koncernem Pfizer udało się zaszczepić ponad połowę dorosłej populacji tego kraju.",4
"Władze zapowiedziały w czwartek, że zamierzają również wprowadzić specjalne przepustki dla osób, które się zaszczepiły, ozdrowieńców, a także tych, którzy posiadają negatywne wyniki testu na koronawirusa.",4
"Znali ich, z częścią nawet sąsiadowali, resztę kojarzyli albo ze wspólnych interesów lub może z tego faktu, że cała ósemka Żydów była ze sobą spokrewniona.",2
Wiktoria uczęszczała po szkole powszechnej na kilka kursów organizowanych przez tę placówkę oświatową.,1
" Tak czy inaczej, Wiktoria i Józef Ulmowie, mając liczną gromadę dzieci, podjęli decyzję by zaopiekować się prześladowanymi Żydami.",1
"Powszechnie twierdzi się, iż cała ósemka Żydów spędzała cały czasu u Polaków.",4
Zimą 1945 r. lokalna społeczność przeniosła zwłoki rodziny Ulmów na pobliski cmentarz.,4
W 2004 r. lokalna społeczność Markowej odsłoniła pomnik dedykowany zamordowanym Ulmom i ukrywającym się u nich Żydom.,4
"W Monachium, podczas konferencji bez udziału przedstawiciela Czechosłowacji, mocarstwa zdecydowały o jej rozbiorze.",4
"Rządy Wielkiej Brytanii i Francji naiwnie myślały, że zaspokojenie roszczeń Hitlera zagwarantuje pokój w Europie.",4
"Wreszcie Wielka Brytania i Francja nie zamierzały w żaden sposób pomóc Czechosłowakom, których armia była wielokrotnie słabsza od wojsk niemieckich.",4
Hitler nie zamierzał pozwolić na dalsze istnienie niepodległej Czechosłowacji.,1
Już 6 października 1938 roku Słowacy uchwalili autonomię i na premiera wybrali Jozefa Tiso.,4
Sytuację postanowił wykorzystać Hitler. Wezwał do Berlina Tiso i przedstawił mu propozycję nie do odrzucenia: albo ogłosi niepodległość Słowacji albo jego kraj czeka okupacja. ,1
"Jednakże Niemcy szybko podporządkowali sobie Słowację, wysyłając na jej terytorium wojsko.",4
Dzień później Niemcy zaczęli masowe aresztowania oraz zlikwidowali czeskie uczelnie. ,4
Dodatkowo czeski ruch oporu prowadził liczne akcje sabotażowe. Jedną z nich było spalenie magazynów z 100 tys. litrów benzyny i nafty. ,4
W marcu 1939 roku zdecydował się faktycznie oddać Czechy pod niemiecki protektorat.,1
"Potajemnie współpracował także z ruchem oporu i zabiegał o to, by nawet fasadowe funkcje w Protektoracie nie przypadały czeskim faszystom.",1
Burza jaka wystąpiła nad Krakowem 5 sierpnia uszkodziła linie telefonicze.,3
"Podobnie 5 sierpnia burza przeszła nad Toruniem, tam także mieszkańcy odetchnęli pełną piersią.",3
Życiodajny deszcz oczyścił toruńskie ulice z tumanów kurzu.,3
"Front nie tylko zerwał linie telefonicznie, ale także zniszczył gospodarstwa rolne i raził kilka osób piorunem.",3
"Na domiar złego nad miastem przeszła także trąba powietrzna, która spowodowała dodatkowe szkody.",3
" Z kolei w Szubinie przez piętnaście minut padał grad wielkości gołębich jaj, a wiatr pozrywał dachy. ",3
 W Reszli na Warmii pioruny spowodowały pożary w kilku miejscowościach.,3
Druga fala nadciągnęła w połowie sierpnia.,3
"Upały doprowadziły także do awarii maszyn w miejskiej chłodni, a to stało się przyczyną szybszego psucia się wędlin i mięsa.",3
Dodatkowo prasa informowała o znacznym obniżeniu poziomu wód lub o wyschniętych zbiornikach wodnych.,3
"Rada miasta, by zahamować rozwój epidemii, podjęła radykalne kroki. Jednymi z nich było zakazanie zgromadzeń publicznych, zamknięcie szkół oraz instytucji kulturalnych.",4
"Natomiast, gdy okazało się, że epidemia nie ustępuje, 25 października, władze San Francisco zdecydowały się na wprowadzenie powszechnego obowiązku noszenia maseczek.",4
Część mieszkańców zaczęła wysyłać skargi na nowe obostrzenia.,4
"Podczas bitwy pod Dubienką, która została stoczona podczas wojny w obronie Konstytucji 3 maja, dowodził jedną z brygad Kawalerii Narodowej.",1
Brał także udział w powstaniu kościuszkowskim.,1
"Objął wówczas dowództwo 8 Pułku Ułanów, dowodząc nim do 1811 r.",1
Za swoje zasługi został odznaczony orderem Virtuti Militari.,2
" Wiktor, późniejszy dziadek Tadeusza, za swoje czyny w bitwie pod Dębem Wielkim, został odznaczony orderem Virtuti Militari.",2
" Swojego syna Tomisława, późniejszego ojca generała, wysłał do szkoły wojskowej w Austrii.",1
" Następnie Tomisław, wraz ze swoimi braćmi, brał udział w wojnie francusko-austriackiej oraz w powstaniu styczniowym.",1
"Dlatego gdy urodził się mu pierwszy syn, nazwał go imieniem zmarłego brata, w ten sposób czcząc pamięć poległego Tadeusza.",1
"Następnie ojciec, zgodnie z rodzinną tradycją, ale i bez sprzeciwu syna, wysłał go do szkoły wojskowej.",1
W 1886 r. otrzymał stopień podporucznika w korpusie oficerów artylerii.,2
Wówczas też został promowany na stopień porucznika.,2
 Awansowano go wówczas na stopień kapitana.,2
W tym samym roku ożenił się z Marią hrabianką Komorowską.,1
Rozwadowski świetnie wywiązywał się z powierzonych mu zadań dotyczących zacieśniania sojuszu austro-rumuńskiego.,1
W 1900 r. Rozwadowski postawił kolejny krok w swojej karierze wojskowej zdając egzamin na oficera sztabowego.,1
Mianowano go także majorem.,2
